證券代碼	簡稱	年月日	收盤價(元)	成交量(千股)
2330   	台積電       	20100104	    43.0815	    39511
2330   	台積電       	20100105	    42.8159	    38394
2330   	台積電       	20100106	    43.0815	    52734
2330   	台積電       	20100107	    42.6168	    53294
2330   	台積電       	20100108	    42.4840	    48047
2330   	台積電       	20100111	    42.8159	    37446
2330   	台積電       	20100112	    42.2185	    52444
2330   	台積電       	20100113	    41.6875	    49806
2330   	台積電       	20100114	    41.9530	    39254
2330   	台積電       	20100115	    42.1521	    50011
2330   	台積電       	20100118	    41.7538	    30586
2330   	台積電       	20100119	    41.4883	    47541
2330   	台積電       	20100120	    41.8202	    52519
2330   	台積電       	20100121	    41.5547	    24842
2330   	台積電       	20100122	    40.5590	    64001
2330   	台積電       	20100125	    40.0943	    62230
2330   	台積電       	20100126	    39.8952	    80078
2330   	台積電       	20100127	    39.5633	    53876
2330   	台積電       	20100128	    39.8288	    44033
2330   	台積電       	20100129	    40.8245	    98124
2330   	台積電       	20100201	    39.6960	    82234
2330   	台積電       	20100202	    39.1650	    72141
2330   	台積電       	20100203	    39.6960	    42627
2330   	台積電       	20100204	    39.2313	    46032
2330   	台積電       	20100205	    37.9701	    66295
2330   	台積電       	20100206	    38.5012	    16391
2330   	台積電       	20100208	    38.1029	    45835
2330   	台積電       	20100209	    38.8994	    49551
2330   	台積電       	20100210	    38.7667	    53809
2330   	台積電       	20100222	    39.1650	    49684
2330   	台積電       	20100223	    39.6960	    52030
2330   	台積電       	20100224	    38.8331	    60489
2330   	台積電       	20100225	    38.6339	    57502
2330   	台積電       	20100226	    39.0322	    31376
2330   	台積電       	20100301	    39.5633	    65860
2330   	台積電       	20100302	    39.7624	    54451
2330   	台積電       	20100303	    39.8288	    34984
2330   	台積電       	20100304	    39.2977	    54471
2330   	台積電       	20100305	    40.0943	    60054
2330   	台積電       	20100308	    40.6254	    44396
2330   	台積電       	20100309	    40.6917	    31475
2330   	台積電       	20100310	    40.7581	    30588
2330   	台積電       	20100311	    40.7581	    30381
2330   	台積電       	20100312	    40.3598	    69392
2330   	台積電       	20100315	    39.6960	    41567
2330   	台積電       	20100316	    39.6296	    29927
2330   	台積電       	20100317	    40.1607	    69118
2330   	台積電       	20100318	    40.0943	    70256
2330   	台積電       	20100319	    39.8288	    46018
2330   	台積電       	20100322	    39.1650	    47084
2330   	台積電       	20100323	    39.5633	    51751
2330   	台積電       	20100324	    40.2271	    48661
2330   	台積電       	20100325	    40.8245	    64155
2330   	台積電       	20100326	    41.1564	    81172
2330   	台積電       	20100329	    41.2892	    37559
2330   	台積電       	20100330	    41.2892	    30055
2330   	台積電       	20100331	    40.8245	    39288
2330   	台積電       	20100401	    41.2228	    54739
2330   	台積電       	20100402	    41.4219	    17373
2330   	台積電       	20100406	    42.0857	    53216
2330   	台積電       	20100407	    42.1521	    49685
2330   	台積電       	20100408	    41.3555	    48608
2330   	台積電       	20100409	    41.6211	    31648
2330   	台積電       	20100412	    41.8866	    36942
2330   	台積電       	20100413	    41.7538	    42767
2330   	台積電       	20100414	    42.3513	    55676
2330   	台積電       	20100415	    42.7496	    72063
2330   	台積電       	20100416	    41.8202	    49739
2330   	台積電       	20100419	    41.5547	    71160
2330   	台積電       	20100420	    41.6875	    37544
2330   	台積電       	20100421	    41.4219	    46602
2330   	台積電       	20100422	    40.8909	    92244
2330   	台積電       	20100423	    40.9573	    48952
2330   	台積電       	20100426	    42.1521	    67547
2330   	台積電       	20100427	    42.2849	    25421
2330   	台積電       	20100428	    41.2228	    73211
2330   	台積電       	20100429	    40.8909	    41236
2330   	台積電       	20100430	    41.0236	    43450
2330   	台積電       	20100503	    40.8909	    22439
2330   	台積電       	20100504	    40.4926	    38777
2330   	台積電       	20100505	    39.6960	    94194
2330   	台積電       	20100506	    39.4969	    52111
2330   	台積電       	20100507	    39.4305	    61576
2330   	台積電       	20100510	    39.6960	    56310
2330   	台積電       	20100511	    39.8952	    69348
2330   	台積電       	20100512	    39.8952	    27731
2330   	台積電       	20100513	    40.6254	    39908
2330   	台積電       	20100514	    40.6254	    35601
2330   	台積電       	20100517	    39.2977	    73215
2330   	台積電       	20100518	    39.4969	    30477
2330   	台積電       	20100519	    39.3641	    51605
2330   	台積電       	20100520	    39.0986	    31740
2330   	台積電       	20100521	    39.0322	    46257
2330   	台積電       	20100524	    39.1650	    19317
2330   	台積電       	20100525	    38.7667	    51282
2330   	台積電       	20100526	    39.0986	    42971
2330   	台積電       	20100527	    38.9658	    55503
2330   	台積電       	20100528	    38.9658	    61148
2330   	台積電       	20100531	    39.9615	    25401
2330   	台積電       	20100601	    39.6960	    28375
2330   	台積電       	20100602	    39.6960	    35323
2330   	台積電       	20100603	    40.3598	    49528
2330   	台積電       	20100604	    40.4926	    42722
2330   	台積電       	20100607	    39.2977	    70649
2330   	台積電       	20100608	    38.8331	    40431
2330   	台積電       	20100609	    38.8994	    46104
2330   	台積電       	20100610	    39.4305	    28817
2330   	台積電       	20100611	    40.1607	    42325
2330   	台積電       	20100614	    40.5590	    44942
2330   	台積電       	20100615	    40.7581	    37547
2330   	台積電       	20100617	    41.2228	    62015
2330   	台積電       	20100618	    41.6211	    46332
2330   	台積電       	20100621	    42.0194	    68409
2330   	台積電       	20100622	    41.5547	    33389
2330   	台積電       	20100623	    41.2228	    37195
2330   	台積電       	20100624	    41.1564	    35361
2330   	台積電       	20100625	    40.7581	    30579
2330   	台積電       	20100628	    40.9573	    20546
2330   	台積電       	20100629	    40.4926	    47953
2330   	台積電       	20100630	    40.2271	    58319
2330   	台積電       	20100701	    39.8288	    65215
2330   	台積電       	20100702	    40.0279	    67300
2330   	台積電       	20100705	    40.7581	    88484
2330   	台積電       	20100706	    41.8050	    69857
2330   	台積電       	20100707	    41.5258	    59168
2330   	台積電       	20100708	    42.1539	    50379
2330   	台積電       	20100709	    42.1539	    38073
2330   	台積電       	20100712	    41.7352	    44197
2330   	台積電       	20100713	    41.5956	    37486
2330   	台積電       	20100714	    42.1539	    59847
2330   	台積電       	20100715	    42.0842	    36838
2330   	台積電       	20100716	    41.8050	    29941
2330   	台積電       	20100719	    42.6425	    63786
2330   	台積電       	20100720	    42.9216	    53963
2330   	台積電       	20100721	    43.1310	    41276
2330   	台積電       	20100722	    43.2706	    45329
2330   	台積電       	20100723	    43.8289	    66046
2330   	台積電       	20100726	    43.6894	    27031
2330   	台積電       	20100727	    43.6196	    21055
2330   	台積電       	20100728	    43.9685	    27030
2330   	台積電       	20100729	    43.9685	    38609
2330   	台積電       	20100730	    43.5498	    43621
2330   	台積電       	20100802	    43.4800	    48140
2330   	台積電       	20100803	    43.2706	    32996
2330   	台積電       	20100804	    43.2706	    28406
2330   	台積電       	20100805	    43.2008	    22212
2330   	台積電       	20100806	    42.5029	    62494
2330   	台積電       	20100809	    42.3633	    57034
2330   	台積電       	20100810	    42.5727	    63934
2330   	台積電       	20100811	    42.5727	    28646
2330   	台積電       	20100812	    42.0144	    66230
2330   	台積電       	20100813	    41.9446	    65690
2330   	台積電       	20100816	    42.0842	    39763
2330   	台積電       	20100817	    41.7352	    37585
2330   	台積電       	20100818	    41.5956	    42902
2330   	台積電       	20100819	    41.9446	    45817
2330   	台積電       	20100820	    41.8050	    30113
2330   	台積電       	20100823	    41.9446	    27931
2330   	台積電       	20100824	    41.5956	    31275
2330   	台積電       	20100825	    40.9675	    70618
2330   	台積電       	20100826	    41.0373	    35255
2330   	台積電       	20100827	    41.0373	    46789
2330   	台積電       	20100830	    41.4560	    27638
2330   	台積電       	20100831	    41.1071	    78362
2330   	台積電       	20100901	    41.2467	    38480
2330   	台積電       	20100902	    41.5258	    27402
2330   	台積電       	20100903	    41.7352	    38339
2330   	台積電       	20100906	    42.2237	    28120
2330   	台積電       	20100907	    42.0144	    20268
2330   	台積電       	20100908	    41.3862	    67149
2330   	台積電       	20100909	    41.5258	    21237
2330   	台積電       	20100910	    41.3862	    32650
2330   	台積電       	20100913	    42.5029	    86955
2330   	台積電       	20100914	    42.5727	    33545
2330   	台積電       	20100915	    42.7123	    42375
2330   	台積電       	20100916	    42.2237	    27918
2330   	台積電       	20100917	    42.7123	    49430
2330   	台積電       	20100920	    43.2706	    66009
2330   	台積電       	20100921	    43.1310	    32745
2330   	台積電       	20100923	    41.8748	   106308
2330   	台積電       	20100924	    41.9446	    60417
2330   	台積電       	20100927	    42.3633	    60795
2330   	台積電       	20100928	    42.5727	    48385
2330   	台積電       	20100929	    42.9216	    79797
2330   	台積電       	20100930	    43.2706	    59691
2330   	台積電       	20101001	    43.2706	    39000
2330   	台積電       	20101004	    43.2008	    25797
2330   	台積電       	20101005	    42.6425	    30388
2330   	台積電       	20101006	    43.1310	    34183
2330   	台積電       	20101007	    42.7821	    39333
2330   	台積電       	20101008	    43.1310	    58237
2330   	台積電       	20101011	    42.9216	    24646
2330   	台積電       	20101012	    42.5727	    28094
2330   	台積電       	20101013	    42.5727	    31040
2330   	台積電       	20101014	    43.1310	    48827
