公司,簡稱,年月,營收發布日,單月營收(千元)
1342,八貫         ,202001,20200210,121261
1597,直得         ,202001,20200207,81609
1752,南光         ,202001,20200210,129465
2211,長榮鋼       ,202001,20200210,1031986
2241,艾姆勒       ,202001,20200203,68394
2247,汎德永業     ,202001,20200210,2701135
2753,八方雲集     ,202001,20200214,406021
2945,三商家購     ,202001,20200210,1049935
3092,鴻碩         ,202001,20200212,201689
3138,耀登         ,202001,20200211,83499
3543,州巧         ,202001,20200214,226114
3592,瑞鼎         ,202001,20200207,1128011
4440,宜新實業     ,202001,20200207,119335
4770,上品         ,202001,        ,103930
5222,全訊         ,202001,20200204,47277
5244,弘凱         ,202001,20200205,57284
5306,桂盟         ,202001,20200210,416251
6426,統新         ,202001,20200210,49881
6438,迅得         ,202001,20200214,177861
6515,穎崴         ,202001,20200213,186415
6598,ABC-KY       ,202001,20200206,10034
6691,洋基工程     ,202001,20200215,216760
6719,力智         ,202001,20200212,252662
6743,安普新       ,202001,20200210,114216
6754,匯僑設計     ,202001,20200210,256177
6756,威鋒電子     ,202001,20200210,184116
6770,力積電       ,202001,        ,3532845
6776,展碁國際     ,202001,20200207,1583428
6790,永豐實       ,202001,        ,779613
6792,詠業         ,202001,        ,114152
6806,森崴能源     ,202001,        ,10460
1240,茂生農經     ,202001,20200210,189448
1258,其祥-KY      ,202001,20200212,282674
1259,安心         ,202001,20200214,487396
1264,德麥         ,202001,20200208,349906
1268,漢來美食     ,202001,20200210,479014
1336,台翰         ,202001,20200213,161999
1565,精華         ,202001,20200210,415791
1569,濱川         ,202001,20200213,284725
1570,力肯         ,202001,20200210,37707
1580,新麥         ,202001,20200212,219028
1584,精剛         ,202001,20200207,79927
1586,和勤         ,202001,20200204,190331
1591,駿吉-KY      ,202001,20200210,45465
1593,祺驊         ,202001,20200210,43151
1595,川寶         ,202001,20200210,116603
1599,宏佳騰       ,202001,20200210,149693
1742,台蠟         ,202001,20200212,15348
1777,生泰         ,202001,20200205,72857
1781,合世         ,202001,20200212,49802
1784,訊聯         ,202001,20200210,62430
1785,光洋科       ,202001,20200210,1895575
1788,杏昌         ,202001,20200207,273842
1796,金穎生技     ,202001,20200207,23526
1799,易威         ,202001,20200211,36991
